2023-05-19 23:14:19.877140 | vertex count= 5 | matrix = [[0, 1, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 0, 1, 0]] | is euler graph = True | euler cycle=[1, 4, 5, 2, 4, 3, 2, 1]
2023-05-19 23:14:37.782977 | vertex count= 5 | matrix = [[0, 0, 0, 1, 1], [0, 0, 1, 1, 1], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]] | is euler graph = False | euler cycle=[]
2023-05-19 23:14:40.526787 | vertex count= 5 | matrix = [[0, 0, 0, 1, 1], [0, 0, 1, 1, 1], [0, 1, 0, 1, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 0]] | is euler graph = False | euler cycle=[]
2023-05-19 23:14:51.072460 | vertex count= 15 | matrix = [[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1], [1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1], [0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1], [0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1], [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], [1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1], [1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0], [0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]] | is euler graph = False | euler cycle=[]
2023-05-19 23:14:59.398935 | vertex count= 15 | matrix = [[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1], [1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1], [0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0], [1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0], [1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1], [1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1], [0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]] | is euler graph = False | euler cycle=[]
2023-05-20 14:34:02.563695 | vertex count= 6 | matrix = [[0, 1, 1, 1, 1, 0], [1, 0, 1, 1, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 0, 0, 1, 1], [1, 1, 1, 1, 0, 0], [0, 1, 1, 1, 0, 0]] | is euler graph = False | euler cycle=[]
2023-05-20 14:34:44.299729 | vertex count= 5 | matrix = [[0, 1, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 0, 1, 0]] | is euler graph = True | euler cycle=[1, 4, 5, 2, 4, 3, 2, 1]
2023-05-20 15:10:07.715983 | vertex count= 5 | matrix = [[0, 1, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 0, 1, 0]] | is euler graph = True | euler cycle=[1, 4, 5, 2, 4, 3, 2, 1]
2023-05-20 19:35:16.244063 | vertex count= 6 | matrix = [[0, 1, 1, 0, 0, 0], [1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 0, 0], [0, 1, 1, 0, 1, 1], [0, 1, 0, 1, 0, 1], [0, 1, 0, 1, 1, 0]] | is euler graph = False | euler cycle=[]
2023-05-20 19:45:38.520140 | vertex count= 5 | matrix = [[0, 1, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 0, 1, 0]] | is euler graph = True | euler cycle=[1, 4, 5, 2, 4, 3, 2, 1]
2023-05-20 19:53:31.719890 | vertex count= 5 | matrix = [[0, 1, 0, 1, 0], [1, 0, 1, 1, 1], [0, 1, 0, 1, 0], [1, 1, 1, 0, 1], [0, 1, 0, 1, 0]] | is euler graph = True | euler cycle=[1, 4, 5, 2, 4, 3, 2, 1]
